Channel1,Channel2,Channel3,Channel4
-4913896,-6725989,-4850602,-740808
-5054310,-6934861,-4745234,-712082
-4993038,-7005133,-4659046,-876616
-5137762,-7070023,-4675148,-692404
-4921590,-7252607,-4840808,-739486
-4902850,-6996969,-4947666,-773734
-4977370,-7021493,-4718686,-819278
-4892706,-7078301,-4562896,-1043862
-4936978,-7253539,-4330552,-1268768
-5092138,-7481749,-4384322,-1079508
-4995202,-7539939,-4181840,-869754
-5000938,-7587603,-4124016,-1123772
-4942100,-7787481,-4340178,-1251564
-5192646,-8003065,-4431546,-1220586
-5002852,-8062669,-4676346,-1417588
-5058656,-8098571,-4720892,-1277126
-4949688,-8308425,-4853736,-1242554
-4729364,-8536061,-5040726,-1293592
-4485510,-8591927,-5217114,-1358954
-4500796,-8615589,-5200152,-1387146
-4423776,-8832837,-5364542,-1222812
-4269562,-9046907,-5567068,-1048380
-4498178,-9115449,-5743010,-850146
-4625966,-9129373,-5738286,-623594
-4428286,-9352161,-5893428,-718178
-4402008,-9564931,-5634328,-572110
-4494194,-9643171,-5797232,-361796
-4553408,-9654281,-5728520,-161472
-4434206,-9881869,-5917024,-142784
-4671798,-10074489,-5816038,-102178
-4517202,-10168391,-5784860,-300292
-4555738,-10173629,-5728060,-95876
-4438890,-10403687,-5888246,-161272
-4222102,-10617597,-6047444,-113894
-3979820,-10699815,-6294376,-329676
-4121930,-10678519,-6263836,-88998
-3920744,-10938317,-6426282,-135668
-3794740,-11154067,-6167026,120900
-3984402,-11230447,-6303806,181034
-4112568,-11199537,-6261412,427824
-3932162,-10952571,-6440488,357696
-3920052,-11132725,-6691932,545666
-3989296,-11229383,-6836558,737192
-4152180,-11217925,-6834488,482300
-3933110,-11477171,-6959634,411194
-3766918,-11671097,-7143768,405848
-3996288,-11750213,-7350054,206646
-3898002,-11729227,-7250528,447432
-3942094,-11480123,-7485150,334784
-4178146,-11653497,-7347144,285688
-4008772,-11754405,-7335158,211110
-3779664,-11748891,-7318514,343464
-3934726,-12008721,-7502656,364022
-4096392,-12204691,-7401748,384900
-4008320,-12275177,-7340308,201716
-3760686,-12243419,-7336962,434782
-3939804,-12012871,-7489170,367140
-4021388,-12198185,-7341644,167206
-3999882,-12277115,-7324976,192000
-4113482,-12245877,-7375378,102812
-3941468,-12019377,-7518170,335478
-4112688,-12182043,-7380660,497474
-4003156,-12274397,-7339530,697268
-4221020,-12227505,-7294244,666456
-4469212,-12021969,-7479116,823598
-4317186,-12197827,-7690594,1027308
-4522288,-12280141,-7868668,1286636
-4773926,-12241263,-7871128,1315398
-4986256,-12028543,-8025796,1382418
-4867950,-12192149,-8242238,1589618
-5049096,-12279459,-8377060,1761960
-5028640,-12232855,-8307220,1927154
-4993828,-12028033,-8055306,1879238
-5048530,-12196387,-8317272,1954312
-5049164,-12276079,-8361578,1714244
-5084126,-12230451,-8313484,1542756
-5006688,-12029795,-8543660,1366280
-5009610,-12200143,-8339224,1606086
-5044982,-12273807,-8319978,1747912
-5023222,-12250745,-8312516,1947804
-5011494,-12032139,-8543174,1903416
-5156608,-12216007,-8437448,1734590
-5052026,-12279977,-8361880,1771682
-5106024,-12215093,-8432264,1524948
-5001112,-12041105,-8569754,1331318
-4746480,-12181347,-8704996,1475740
-4511936,-12276529,-8893358,1272186
-4650424,-12229891,-8923022,1313068
-4471222,-12029845,-9064690,1384982
-4642386,-12222907,-8963306,1535070
-4520248,-12275651,-8906396,1274110
-4497848,-12232209,-8865372,1421678
-4486552,-12047321,-9103098,1349080
-4522318,-12194299,-8858580,1336532
-4509016,-12267705,-8865838,1261862
-4486834,-12200083,-8840836,1359494
-4485138,-12042859,-9082444,1373566
-4618218,-12196647,-9110142,1583742
-4505514,-12274299,-8877618,1781286
-4444990,-12210959,-8812086,1992632
-4483008,-12038089,-9033606,1888174
-4565556,-12212343,-8855122,1753336
-4528368,-12270819,-8894892,1749432
-4683764,-12216813,-8915176,1578076
-4487762,-12049335,-9078064,1377556
-4305024,-12247155,-9298594,1221158
-4518474,-12282861,-9422430,1413874
-4677048,-12136179,-9197312,1223834
-4499516,-12048715,-9063816,1357474
-4571824,-12207249,-9060958,1510116
-4521324,-12279369,-8895974,1759374
-4428408,-12167901,-8765336,1912148
-4492636,-12043747,-8579096,1910182
-4487776,-12215677,-8821930,1983404
-4529792,-12276295,-8908900,1827384
-4608136,-12183889,-8855272,1761984
-4498394,-12044171,-9059558,1905024
-4432932,-12228441,-8815172,1689128
-4525436,-12276075,-8932890,1806326
-4659522,-12201633,-8904994,1616830
-4485018,-12027103,-9093014,1421308
-4582634,-12211637,-8882532,1330140
-4537486,-12281563,-8911612,1251442
-4614564,-12230011,-8880638,1229596
-4482166,-12033459,-9067890,1414392
-4429900,-12249341,-8865692,1181826
-4533416,-12279493,-8914950,1262412
-4710724,-12178791,-8879938,1138548
-4480252,-12028679,-9096806,1383324
-4629988,-12267173,-8962992,1425590
-4545508,-12290261,-8894990,1267576
-4722660,-12205133,-8844980,1319010
-4482876,-12039105,-9076686,1379646
-4639566,-12192029,-8928658,1444078
-4550948,-12286299,-8901656,1307544
-4710128,-12205199,-8889528,1356832
-4479600,-12051455,-9092852,1379540
-4635254,-12223667,-8968166,1439986
-4550962,-12295901,-8893672,1243894
-4697212,-12167987,-8851448,1268082
-4483892,-12048889,-9068150,1381534
-4610136,-12222175,-8943978,1494768
-4559284,-12295513,-8922508,1748446
-4627786,-12183691,-8859800,1823200
-4469620,-12032585,-9080506,1855802
-4610224,-12228137,-8962360,1849768
-4559082,-12293135,-8899384,1743132
-4481394,-12162613,-8804166,1936934
-4471776,-12028521,-9064752,1872984
-4421584,-12209823,-9251824,1687224
-4554316,-12292887,-9414154,1761620
-4407422,-12174987,-9305504,1912508
-4477338,-12045449,-9072516,1871450
-4451114,-12220505,-8822804,1680848
-4559254,-12305851,-8895010,1710698
-4415512,-12170249,-8822528,1609354
-4486456,-12051327,-9046176,1870394
-4563098,-12221607,-8921264,1847200
-4569738,-12305545,-8905566,1747538
-4626958,-12165611,-8852448,1664610
-4479166,-12047425,-9089490,1845118
